route,load,variety,priority,preferred_status,eta_minutes,rain_safe
Lonikand to Warehouse B,397 bags IR-64,IR-64,11,standby,101,False
Bhosari to Warehouse A,225 bags Swarna,Swarna,5,scheduled,123,True
Baramati to Warehouse C,311 bags Sona Masoori,Sona Masoori,8,scheduled,87,False
Indapur to Warehouse B,483 bags Sona Masoori,Sona Masoori,8,scheduled,80,True
Baramati to Warehouse C,189 bags Ponni,Ponni,3,scheduled,96,True
Open Yard C to Warehouse C,498 bags Ponni,Ponni,5,scheduled,81,True
Indapur to Warehouse B,393 bags Basmati,Basmati,9,ready,104,True
Talegaon to Warehouse A,255 bags Ponni,Ponni,1,scheduled,175,False
Moshi to Warehouse A,369 bags Basmati,Basmati,19,ready,70,False
Talegaon to Warehouse B,172 bags Sona Masoori,Sona Masoori,8,standby,95,False
Chakan to Warehouse B,166 bags Ponni,Ponni,9,ready,47,True
Daund to Warehouse B,180 bags Sona Masoori,Sona Masoori,2,scheduled,57,True
Moshi to Warehouse C,231 bags Sona Masoori,Sona Masoori,16,scheduled,142,True
Sanaswadi to Warehouse B,400 bags IR-64,IR-64,19,standby,24,True
Indapur to Warehouse B,374 bags IR-64,IR-64,6,scheduled,174,True
Lonikand to Warehouse B,122 bags Sona Masoori,Sona Masoori,11,scheduled,108,False
Daund to Warehouse B,421 bags Swarna,Swarna,5,scheduled,92,False
Open Yard C to Warehouse B,457 bags Basmati,Basmati,15,scheduled,71,True
Pimpri to Warehouse A,358 bags Ponni,Ponni,10,standby,33,True
Pimpri to Warehouse C,229 bags Sona Masoori,Sona Masoori,18,scheduled,145,False
Indapur to Warehouse B,330 bags Swarna,Swarna,17,standby,150,True
Khed to Warehouse C,224 bags Swarna,Swarna,6,scheduled,145,True
Pimpri to Warehouse B,315 bags IR-64,IR-64,1,scheduled,33,False
Bhosari to Warehouse B,373 bags Ponni,Ponni,17,ready,118,True
Bhosari to Warehouse B,435 bags Basmati,Basmati,11,ready,55,False
Khed to Warehouse C,243 bags Swarna,Swarna,1,standby,55,False
Moshi to Warehouse C,463 bags Ponni,Ponni,15,ready,148,False
Bhosari to Warehouse B,77 bags Ponni,Ponni,18,standby,48,True
Baramati to Warehouse B,389 bags IR-64,IR-64,2,ready,117,True
Lonikand to Warehouse B,197 bags IR-64,IR-64,19,standby,176,False
Bhosari to Warehouse B,322 bags Basmati,Basmati,16,ready,63,True
Sanaswadi to Warehouse A,202 bags Basmati,Basmati,9,standby,137,True
Khed to Warehouse A,343 bags Swarna,Swarna,3,scheduled,174,True
Moshi to Warehouse A,142 bags Sona Masoori,Sona Masoori,7,ready,140,True
Pimpri to Warehouse C,382 bags Sona Masoori,Sona Masoori,13,scheduled,176,False
Lonikand to Warehouse A,271 bags Sona Masoori,Sona Masoori,13,ready,122,False
Baramati to Warehouse A,64 bags Swarna,Swarna,19,standby,103,True
Baramati to Warehouse B,265 bags Basmati,Basmati,5,scheduled,21,True
Moshi to Warehouse C,440 bags IR-64,IR-64,1,scheduled,16,True
Daund to Warehouse B,90 bags Ponni,Ponni,8,standby,38,False
Talegaon to Warehouse C,73 bags Sona Masoori,Sona Masoori,16,ready,32,False
Lonikand to Warehouse B,414 bags Basmati,Basmati,7,standby,155,False
Sanaswadi to Warehouse B,125 bags Ponni,Ponni,8,standby,116,False
Talegaon to Warehouse A,116 bags Basmati,Basmati,13,scheduled,79,False
Baramati to Warehouse A,69 bags Swarna,Swarna,2,ready,30,False
Baramati to Warehouse C,171 bags Swarna,Swarna,15,scheduled,151,True
Moshi to Warehouse B,112 bags Ponni,Ponni,4,standby,30,False
Talegaon to Warehouse C,63 bags Ponni,Ponni,9,ready,173,True
Daund to Warehouse A,385 bags Sona Masoori,Sona Masoori,15,standby,103,False
Wagholi to Warehouse B,376 bags Swarna,Swarna,11,scheduled,176,False
Baramati to Warehouse B,280 bags Ponni,Ponni,1,standby,72,False
Khed to Warehouse B,495 bags Basmati,Basmati,19,scheduled,86,False
Lonikand to Warehouse C,92 bags Sona Masoori,Sona Masoori,19,scheduled,173,True
Daund to Warehouse B,320 bags Basmati,Basmati,18,scheduled,117,False
Talegaon to Warehouse A,444 bags Sona Masoori,Sona Masoori,18,standby,88,False
Bhosari to Warehouse A,149 bags Basmati,Basmati,7,standby,82,True
Sanaswadi to Warehouse B,484 bags Sona Masoori,Sona Masoori,1,standby,54,False
Indapur to Warehouse B,228 bags Basmati,Basmati,9,ready,103,True
Indapur to Warehouse C,447 bags Ponni,Ponni,14,ready,37,False
Hadapsar to Warehouse C,121 bags Basmati,Basmati,3,standby,135,True
Bhosari to Warehouse C,153 bags Sona Masoori,Sona Masoori,7,ready,144,True
Moshi to Warehouse B,460 bags IR-64,IR-64,13,standby,78,True
Shirur to Warehouse A,450 bags Basmati,Basmati,18,scheduled,178,True
Shirur to Warehouse C,313 bags Swarna,Swarna,3,standby,57,False
Shirur to Warehouse A,204 bags Basmati,Basmati,8,standby,116,False
Khed to Warehouse B,297 bags IR-64,IR-64,3,standby,49,False
Moshi to Warehouse C,257 bags Ponni,Ponni,4,standby,159,True
Bhosari to Warehouse C,496 bags Swarna,Swarna,14,ready,74,False
Talegaon to Warehouse A,220 bags IR-64,IR-64,14,ready,66,False
Moshi to Warehouse A,56 bags Swarna,Swarna,1,ready,151,False
Shirur to Warehouse C,271 bags Basmati,Basmati,14,scheduled,93,True
Wagholi to Warehouse B,170 bags Basmati,Basmati,20,ready,124,False
Hadapsar to Warehouse C,288 bags Basmati,Basmati,6,ready,59,False
Baramati to Warehouse B,244 bags Ponni,Ponni,19,scheduled,178,False
Daund to Warehouse B,465 bags IR-64,IR-64,19,ready,37,False
Khed to Warehouse B,67 bags IR-64,IR-64,6,scheduled,78,False
Daund to Warehouse A,101 bags Basmati,Basmati,1,scheduled,105,True
Khed to Warehouse B,457 bags Sona Masoori,Sona Masoori,12,scheduled,39,False
Daund to Warehouse C,373 bags IR-64,IR-64,5,standby,29,False
Baramati to Warehouse B,127 bags Basmati,Basmati,19,ready,34,True
Open Yard C to Warehouse C,378 bags Ponni,Ponni,12,scheduled,176,True
Hadapsar to Warehouse C,446 bags Basmati,Basmati,3,ready,47,True
Chakan to Warehouse A,330 bags Ponni,Ponni,3,ready,119,False
Sanaswadi to Warehouse C,474 bags IR-64,IR-64,1,scheduled,151,True
Open Yard C to Warehouse A,377 bags Ponni,Ponni,7,ready,66,False
Bhosari to Warehouse C,154 bags Swarna,Swarna,8,ready,126,True
Daund to Warehouse C,305 bags Swarna,Swarna,20,scheduled,78,False
Baramati to Warehouse A,200 bags Basmati,Basmati,4,scheduled,123,False
Chakan to Warehouse A,98 bags Ponni,Ponni,16,scheduled,89,True
Sanaswadi to Warehouse C,258 bags Basmati,Basmati,16,ready,48,True
Talegaon to Warehouse B,320 bags IR-64,IR-64,10,scheduled,138,True
Pimpri to Warehouse C,376 bags IR-64,IR-64,19,ready,41,False
Khed to Warehouse A,336 bags Ponni,Ponni,2,scheduled,94,False
Wagholi to Warehouse C,454 bags IR-64,IR-64,13,standby,127,False
Lonikand to Warehouse A,164 bags Sona Masoori,Sona Masoori,6,ready,148,True
Talegaon to Warehouse C,443 bags Ponni,Ponni,15,ready,118,True
Wagholi to Warehouse A,181 bags Sona Masoori,Sona Masoori,20,ready,79,False
Lonikand to Warehouse B,267 bags Basmati,Basmati,6,standby,92,False
Bhosari to Warehouse C,255 bags Ponni,Ponni,11,standby,120,True
Moshi to Warehouse B,239 bags Sona Masoori,Sona Masoori,15,standby,78,False
Daund to Warehouse C,123 bags Ponni,Ponni,10,ready,81,False
Sanaswadi to Warehouse C,370 bags Basmati,Basmati,1,scheduled,20,False
Indapur to Warehouse B,183 bags Basmati,Basmati,17,standby,139,False
Chakan to Warehouse B,323 bags Swarna,Swarna,17,ready,44,True
Shirur to Warehouse C,177 bags Sona Masoori,Sona Masoori,6,ready,126,True
Baramati to Warehouse C,445 bags IR-64,IR-64,7,ready,170,False
Shirur to Warehouse A,376 bags IR-64,IR-64,9,ready,47,False
Bhosari to Warehouse C,324 bags Sona Masoori,Sona Masoori,13,standby,63,False
Indapur to Warehouse A,208 bags Sona Masoori,Sona Masoori,16,ready,105,False
Chakan to Warehouse A,463 bags Basmati,Basmati,4,standby,180,True
Sanaswadi to Warehouse C,101 bags Basmati,Basmati,15,standby,160,True
Khed to Warehouse A,474 bags Ponni,Ponni,17,scheduled,75,False
Shirur to Warehouse B,194 bags Ponni,Ponni,1,scheduled,40,True
Baramati to Warehouse B,87 bags IR-64,IR-64,15,ready,41,False
Chakan to Warehouse C,306 bags Basmati,Basmati,7,scheduled,16,True
Khed to Warehouse B,194 bags Basmati,Basmati,16,scheduled,79,True
Lonikand to Warehouse C,51 bags IR-64,IR-64,1,scheduled,167,True
Talegaon to Warehouse C,375 bags Sona Masoori,Sona Masoori,13,ready,39,False
Open Yard C to Warehouse C,433 bags Basmati,Basmati,2,standby,159,True
Baramati to Warehouse B,178 bags Basmati,Basmati,5,ready,178,False
Shirur to Warehouse B,116 bags Ponni,Ponni,1,standby,75,False
Open Yard C to Warehouse B,141 bags Swarna,Swarna,2,standby,156,True
Open Yard C to Warehouse C,328 bags Sona Masoori,Sona Masoori,4,scheduled,156,True
Sanaswadi to Warehouse C,176 bags Sona Masoori,Sona Masoori,1,ready,64,False
Shirur to Warehouse A,329 bags Swarna,Swarna,17,scheduled,137,True
Indapur to Warehouse C,385 bags IR-64,IR-64,2,standby,17,False
Moshi to Warehouse A,489 bags Ponni,Ponni,3,ready,161,True
Talegaon to Warehouse A,497 bags Ponni,Ponni,15,ready,180,False
Talegaon to Warehouse A,237 bags Basmati,Basmati,3,ready,32,True
Baramati to Warehouse A,479 bags IR-64,IR-64,15,scheduled,49,True
Bhosari to Warehouse C,354 bags Basmati,Basmati,5,scheduled,158,False
Hadapsar to Warehouse B,325 bags IR-64,IR-64,10,scheduled,57,False
Hadapsar to Warehouse C,348 bags Ponni,Ponni,16,scheduled,83,False
Open Yard C to Warehouse C,95 bags Sona Masoori,Sona Masoori,20,standby,73,True
Open Yard C to Warehouse B,484 bags Ponni,Ponni,17,ready,131,True
Lonikand to Warehouse C,382 bags IR-64,IR-64,9,ready,70,True
Lonikand to Warehouse B,91 bags Ponni,Ponni,1,ready,97,False
Open Yard C to Warehouse A,59 bags IR-64,IR-64,19,ready,37,False
Daund to Warehouse C,357 bags Sona Masoori,Sona Masoori,20,ready,31,False
Baramati to Warehouse C,217 bags IR-64,IR-64,2,standby,133,True
Wagholi to Warehouse B,485 bags Basmati,Basmati,18,standby,33,True
Baramati to Warehouse C,132 bags Ponni,Ponni,9,ready,147,False
Shirur to Warehouse C,297 bags Basmati,Basmati,19,ready,25,True
Pimpri to Warehouse A,265 bags IR-64,IR-64,18,scheduled,116,False
Daund to Warehouse C,480 bags Sona Masoori,Sona Masoori,16,scheduled,62,True
Bhosari to Warehouse A,335 bags Sona Masoori,Sona Masoori,12,ready,20,True
Pimpri to Warehouse B,196 bags IR-64,IR-64,11,ready,97,True
Khed to Warehouse C,115 bags Basmati,Basmati,12,scheduled,110,False
Shirur to Warehouse A,409 bags Ponni,Ponni,9,ready,168,True
Sanaswadi to Warehouse A,223 bags Ponni,Ponni,4,standby,69,False
Bhosari to Warehouse A,189 bags IR-64,IR-64,10,scheduled,180,False
Indapur to Warehouse B,397 bags Sona Masoori,Sona Masoori,1,standby,103,True
Pimpri to Warehouse C,70 bags Swarna,Swarna,15,standby,93,False
Indapur to Warehouse B,75 bags Ponni,Ponni,12,ready,139,True
Bhosari to Warehouse B,322 bags Swarna,Swarna,16,ready,132,False
Hadapsar to Warehouse A,401 bags Ponni,Ponni,7,ready,127,True
Khed to Warehouse C,358 bags Sona Masoori,Sona Masoori,20,standby,29,True
Daund to Warehouse C,474 bags Swarna,Swarna,8,ready,179,False
Wagholi to Warehouse C,444 bags Sona Masoori,Sona Masoori,17,standby,82,True
Sanaswadi to Warehouse C,128 bags IR-64,IR-64,7,standby,95,False
Lonikand to Warehouse B,283 bags IR-64,IR-64,7,ready,157,True
Lonikand to Warehouse C,484 bags Swarna,Swarna,13,ready,130,False
Daund to Warehouse B,227 bags IR-64,IR-64,11,scheduled,120,False
Chakan to Warehouse C,234 bags Sona Masoori,Sona Masoori,14,ready,83,False
Shirur to Warehouse A,386 bags Swarna,Swarna,10,scheduled,136,True
Hadapsar to Warehouse A,76 bags Sona Masoori,Sona Masoori,6,ready,105,False
Chakan to Warehouse C,185 bags Basmati,Basmati,8,standby,88,False
Pimpri to Warehouse C,228 bags IR-64,IR-64,19,ready,177,False
Wagholi to Warehouse B,53 bags Basmati,Basmati,4,scheduled,94,False
Sanaswadi to Warehouse B,391 bags Swarna,Swarna,7,standby,138,True
Chakan to Warehouse C,221 bags Sona Masoori,Sona Masoori,3,scheduled,41,False
Khed to Warehouse A,151 bags Ponni,Ponni,15,ready,172,False
Open Yard C to Warehouse C,193 bags IR-64,IR-64,6,scheduled,149,True
Khed to Warehouse A,176 bags IR-64,IR-64,10,standby,172,False
Bhosari to Warehouse B,418 bags Sona Masoori,Sona Masoori,3,scheduled,16,True
Daund to Warehouse C,243 bags Swarna,Swarna,15,ready,64,False
Sanaswadi to Warehouse B,329 bags Ponni,Ponni,1,scheduled,148,False
Pimpri to Warehouse A,274 bags Sona Masoori,Sona Masoori,9,standby,121,False
Baramati to Warehouse B,359 bags IR-64,IR-64,10,ready,114,True
Daund to Warehouse C,263 bags Sona Masoori,Sona Masoori,13,scheduled,38,False
Indapur to Warehouse B,246 bags Basmati,Basmati,11,scheduled,29,False
Hadapsar to Warehouse A,454 bags Ponni,Ponni,14,scheduled,96,True
Daund to Warehouse A,405 bags Swarna,Swarna,19,scheduled,24,True
Bhosari to Warehouse B,149 bags Sona Masoori,Sona Masoori,5,ready,20,False
Open Yard C to Warehouse C,483 bags Swarna,Swarna,10,standby,50,False
Lonikand to Warehouse B,368 bags Basmati,Basmati,18,ready,123,False
Open Yard C to Warehouse C,495 bags Sona Masoori,Sona Masoori,6,ready,147,True
Hadapsar to Warehouse A,303 bags Ponni,Ponni,8,ready,68,True
Indapur to Warehouse C,405 bags IR-64,IR-64,12,scheduled,93,True
Talegaon to Warehouse C,170 bags Basmati,Basmati,11,scheduled,59,True
Talegaon to Warehouse B,404 bags Ponni,Ponni,2,scheduled,61,False
Open Yard C to Warehouse B,478 bags Swarna,Swarna,3,standby,113,True
Indapur to Warehouse C,288 bags Basmati,Basmati,7,ready,41,False
Pimpri to Warehouse A,313 bags Swarna,Swarna,7,standby,141,True
Talegaon to Warehouse A,101 bags Swarna,Swarna,9,scheduled,23,True
Shirur to Warehouse C,88 bags Sona Masoori,Sona Masoori,13,standby,176,False
Chakan to Warehouse A,475 bags Basmati,Basmati,9,standby,68,False
Khed to Warehouse B,51 bags IR-64,IR-64,13,standby,77,False
Chakan to Warehouse B,87 bags Swarna,Swarna,6,scheduled,155,False
Sanaswadi to Warehouse A,219 bags IR-64,IR-64,4,ready,37,False
Khed to Warehouse C,422 bags IR-64,IR-64,12,standby,136,True
Khed to Warehouse A,392 bags Swarna,Swarna,17,ready,26,False
Daund to Warehouse C,456 bags Basmati,Basmati,18,ready,58,False
Sanaswadi to Warehouse C,434 bags IR-64,IR-64,8,ready,88,False
Talegaon to Warehouse A,181 bags Sona Masoori,Sona Masoori,11,scheduled,107,True
Sanaswadi to Warehouse B,89 bags Sona Masoori,Sona Masoori,8,scheduled,19,True
Wagholi to Warehouse B,385 bags Ponni,Ponni,20,standby,136,False
Bhosari to Warehouse C,134 bags IR-64,IR-64,9,standby,144,False
Sanaswadi to Warehouse B,264 bags Ponni,Ponni,8,standby,100,False
Open Yard C to Warehouse B,172 bags Ponni,Ponni,12,scheduled,157,True
Shirur to Warehouse A,334 bags Basmati,Basmati,7,scheduled,159,False
Wagholi to Warehouse C,454 bags Swarna,Swarna,19,scheduled,25,True
Bhosari to Warehouse B,416 bags Basmati,Basmati,16,scheduled,68,True
Lonikand to Warehouse C,51 bags Swarna,Swarna,20,scheduled,47,False
Khed to Warehouse B,50 bags Ponni,Ponni,10,standby,92,False
Baramati to Warehouse B,63 bags Sona Masoori,Sona Masoori,15,ready,18,False
Chakan to Warehouse C,479 bags Swarna,Swarna,12,ready,147,True
Khed to Warehouse B,215 bags Ponni,Ponni,13,scheduled,142,True
Talegaon to Warehouse A,136 bags Basmati,Basmati,6,standby,79,True
Sanaswadi to Warehouse A,254 bags IR-64,IR-64,3,scheduled,41,True
Bhosari to Warehouse B,486 bags Ponni,Ponni,16,standby,78,False
Indapur to Warehouse A,224 bags Ponni,Ponni,3,scheduled,38,False
Daund to Warehouse A,476 bags Sona Masoori,Sona Masoori,5,scheduled,116,True
Talegaon to Warehouse A,160 bags IR-64,IR-64,18,ready,45,False
Sanaswadi to Warehouse C,444 bags IR-64,IR-64,10,ready,91,True
Talegaon to Warehouse B,427 bags Ponni,Ponni,5,standby,88,True
Sanaswadi to Warehouse A,168 bags IR-64,IR-64,2,standby,21,True
Hadapsar to Warehouse A,279 bags Ponni,Ponni,20,standby,154,True
Wagholi to Warehouse C,170 bags Basmati,Basmati,2,scheduled,165,False
Pimpri to Warehouse A,415 bags IR-64,IR-64,11,standby,56,False
Chakan to Warehouse A,375 bags Swarna,Swarna,14,standby,165,False
Lonikand to Warehouse C,406 bags Ponni,Ponni,9,ready,139,False
Wagholi to Warehouse A,443 bags Ponni,Ponni,20,ready,132,False
Hadapsar to Warehouse B,85 bags Basmati,Basmati,1,scheduled,63,True
Khed to Warehouse B,70 bags Ponni,Ponni,2,ready,77,True
Chakan to Warehouse A,115 bags Swarna,Swarna,7,standby,100,False
Baramati to Warehouse C,133 bags Swarna,Swarna,3,ready,65,False
Talegaon to Warehouse C,124 bags Basmati,Basmati,11,scheduled,154,False
Daund to Warehouse B,492 bags Swarna,Swarna,7,scheduled,61,False
Hadapsar to Warehouse C,129 bags Sona Masoori,Sona Masoori,9,ready,57,True
Talegaon to Warehouse A,132 bags Ponni,Ponni,8,standby,148,True
Hadapsar to Warehouse C,216 bags IR-64,IR-64,6,standby,101,True
Chakan to Warehouse A,298 bags Sona Masoori,Sona Masoori,19,scheduled,89,True
Lonikand to Warehouse C,401 bags Sona Masoori,Sona Masoori,9,ready,34,True
Wagholi to Warehouse B,132 bags IR-64,IR-64,19,standby,79,False
Chakan to Warehouse B,395 bags Sona Masoori,Sona Masoori,17,scheduled,180,True
Pimpri to Warehouse C,166 bags Basmati,Basmati,2,ready,121,True
Daund to Warehouse C,404 bags IR-64,IR-64,7,scheduled,132,False
Moshi to Warehouse B,150 bags Basmati,Basmati,18,scheduled,74,True
Daund to Warehouse C,278 bags Ponni,Ponni,19,ready,174,True
Daund to Warehouse C,61 bags Basmati,Basmati,8,standby,163,False
Open Yard C to Warehouse C,296 bags Basmati,Basmati,19,ready,30,True
Open Yard C to Warehouse B,116 bags IR-64,IR-64,6,scheduled,63,True
Sanaswadi to Warehouse B,52 bags Ponni,Ponni,14,standby,157,False
Pimpri to Warehouse B,307 bags Basmati,Basmati,13,scheduled,131,False
Baramati to Warehouse C,372 bags Basmati,Basmati,6,scheduled,173,True
Wagholi to Warehouse C,177 bags Basmati,Basmati,13,ready,25,False
Pimpri to Warehouse A,390 bags IR-64,IR-64,15,scheduled,15,True
Open Yard C to Warehouse A,396 bags Basmati,Basmati,9,scheduled,41,True
Daund to Warehouse C,81 bags Basmati,Basmati,12,scheduled,120,True
Khed to Warehouse B,86 bags IR-64,IR-64,14,scheduled,119,False
Chakan to Warehouse C,309 bags Sona Masoori,Sona Masoori,19,ready,27,False
Pimpri to Warehouse B,204 bags Swarna,Swarna,2,standby,66,False
Bhosari to Warehouse B,137 bags Basmati,Basmati,11,standby,54,True
Chakan to Warehouse B,188 bags IR-64,IR-64,5,ready,177,True
Wagholi to Warehouse A,202 bags Sona Masoori,Sona Masoori,7,ready,33,False
Talegaon to Warehouse C,186 bags IR-64,IR-64,4,standby,170,True
Open Yard C to Warehouse C,481 bags Swarna,Swarna,18,standby,22,False
Hadapsar to Warehouse C,89 bags IR-64,IR-64,6,ready,56,False
Wagholi to Warehouse C,277 bags Basmati,Basmati,15,scheduled,133,True
Chakan to Warehouse B,383 bags Swarna,Swarna,10,ready,56,False
Khed to Warehouse A,68 bags Swarna,Swarna,1,ready,149,True
Daund to Warehouse A,424 bags Sona Masoori,Sona Masoori,2,standby,49,False
Bhosari to Warehouse B,318 bags Sona Masoori,Sona Masoori,12,ready,170,False
Talegaon to Warehouse A,107 bags Ponni,Ponni,16,ready,165,True
Sanaswadi to Warehouse B,181 bags Ponni,Ponni,3,standby,30,False
Talegaon to Warehouse C,148 bags Sona Masoori,Sona Masoori,10,scheduled,59,True
Wagholi to Warehouse C,357 bags IR-64,IR-64,1,scheduled,121,False
Sanaswadi to Warehouse B,93 bags IR-64,IR-64,3,standby,132,True
Khed to Warehouse B,400 bags IR-64,IR-64,3,standby,104,False
Indapur to Warehouse A,161 bags Sona Masoori,Sona Masoori,12,scheduled,148,False
Shirur to Warehouse B,69 bags Swarna,Swarna,14,standby,125,False
Indapur to Warehouse B,381 bags Sona Masoori,Sona Masoori,9,standby,82,True
Open Yard C to Warehouse A,220 bags Swarna,Swarna,1,scheduled,104,True
Wagholi to Warehouse C,117 bags Swarna,Swarna,16,standby,54,True
Open Yard C to Warehouse A,326 bags Swarna,Swarna,4,standby,100,True
Moshi to Warehouse A,413 bags Swarna,Swarna,6,scheduled,135,True
Wagholi to Warehouse A,434 bags Basmati,Basmati,20,standby,82,True
Sanaswadi to Warehouse B,103 bags Swarna,Swarna,11,standby,176,False
Daund to Warehouse B,145 bags Basmati,Basmati,12,standby,46,True
Baramati to Warehouse A,305 bags Sona Masoori,Sona Masoori,6,standby,16,False
Talegaon to Warehouse B,425 bags Sona Masoori,Sona Masoori,18,scheduled,93,False
Bhosari to Warehouse C,432 bags IR-64,IR-64,10,standby,155,False
Daund to Warehouse A,428 bags Ponni,Ponni,14,scheduled,166,True
Open Yard C to Warehouse A,466 bags IR-64,IR-64,14,standby,40,True
Lonikand to Warehouse C,426 bags Ponni,Ponni,19,standby,34,True
Indapur to Warehouse C,478 bags Basmati,Basmati,2,standby,167,True
Talegaon to Warehouse C,491 bags Ponni,Ponni,15,scheduled,43,True
Khed to Warehouse C,482 bags IR-64,IR-64,17,scheduled,129,False
Daund to Warehouse A,221 bags Ponni,Ponni,9,scheduled,53,False
Wagholi to Warehouse C,148 bags Basmati,Basmati,11,standby,53,False
Chakan to Warehouse B,380 bags IR-64,IR-64,16,standby,151,False
Khed to Warehouse C,487 bags Swarna,Swarna,14,ready,155,True
Lonikand to Warehouse A,69 bags Basmati,Basmati,3,standby,159,True
Daund to Warehouse B,125 bags Basmati,Basmati,7,standby,124,False
Baramati to Warehouse B,366 bags Ponni,Ponni,8,scheduled,113,False
Baramati to Warehouse C,84 bags Sona Masoori,Sona Masoori,16,standby,145,True
Wagholi to Warehouse A,307 bags Ponni,Ponni,8,scheduled,106,True
Daund to Warehouse C,490 bags IR-64,IR-64,7,scheduled,39,False
Baramati to Warehouse C,141 bags Sona Masoori,Sona Masoori,18,standby,78,False
Chakan to Warehouse A,474 bags Swarna,Swarna,6,standby,36,False
Bhosari to Warehouse A,351 bags Basmati,Basmati,4,scheduled,50,False
Khed to Warehouse B,79 bags Ponni,Ponni,14,scheduled,123,True
Moshi to Warehouse A,333 bags Basmati,Basmati,1,scheduled,76,True
Daund to Warehouse C,142 bags Swarna,Swarna,13,ready,70,False
Sanaswadi to Warehouse C,263 bags IR-64,IR-64,7,standby,164,False
Sanaswadi to Warehouse B,250 bags Swarna,Swarna,16,ready,17,False
Open Yard C to Warehouse A,319 bags Sona Masoori,Sona Masoori,2,ready,27,True
Shirur to Warehouse A,72 bags Swarna,Swarna,20,standby,107,True
Daund to Warehouse C,352 bags Ponni,Ponni,2,ready,109,False
Lonikand to Warehouse B,209 bags Sona Masoori,Sona Masoori,19,scheduled,88,True
Bhosari to Warehouse A,183 bags IR-64,IR-64,14,standby,115,True
Open Yard C to Warehouse A,407 bags IR-64,IR-64,20,scheduled,164,True
Baramati to Warehouse B,97 bags Ponni,Ponni,4,scheduled,144,True
Daund to Warehouse B,362 bags Ponni,Ponni,7,ready,141,False
Pimpri to Warehouse A,171 bags IR-64,IR-64,3,ready,128,False
Pimpri to Warehouse C,97 bags Sona Masoori,Sona Masoori,16,ready,127,False
Open Yard C to Warehouse A,404 bags Sona Masoori,Sona Masoori,9,standby,141,False
Khed to Warehouse A,427 bags Sona Masoori,Sona Masoori,11,ready,105,True
Lonikand to Warehouse A,367 bags Basmati,Basmati,2,scheduled,152,True
Bhosari to Warehouse C,251 bags Sona Masoori,Sona Masoori,7,scheduled,30,True
Chakan to Warehouse B,199 bags Ponni,Ponni,14,ready,107,False
Baramati to Warehouse B,486 bags IR-64,IR-64,11,standby,95,True
Wagholi to Warehouse C,407 bags Swarna,Swarna,10,standby,168,True
Baramati to Warehouse A,315 bags Sona Masoori,Sona Masoori,6,standby,132,True
Indapur to Warehouse C,63 bags IR-64,IR-64,16,scheduled,37,True
Moshi to Warehouse A,177 bags IR-64,IR-64,1,scheduled,53,True
Wagholi to Warehouse A,466 bags Swarna,Swarna,1,scheduled,172,True
Pimpri to Warehouse B,227 bags Swarna,Swarna,17,scheduled,105,True
Lonikand to Warehouse B,254 bags Sona Masoori,Sona Masoori,19,standby,142,False
Wagholi to Warehouse B,186 bags Ponni,Ponni,2,ready,72,False
Daund to Warehouse C,411 bags Swarna,Swarna,3,ready,180,True
Talegaon to Warehouse C,136 bags Swarna,Swarna,15,standby,125,True
Sanaswadi to Warehouse B,187 bags Sona Masoori,Sona Masoori,6,scheduled,112,True
Daund to Warehouse A,317 bags Basmati,Basmati,14,ready,99,True
Lonikand to Warehouse A,412 bags Ponni,Ponni,19,ready,113,False
Lonikand to Warehouse B,497 bags Ponni,Ponni,19,standby,64,False
Wagholi to Warehouse B,147 bags Ponni,Ponni,3,scheduled,25,True
Hadapsar to Warehouse C,200 bags Ponni,Ponni,15,ready,36,False
Wagholi to Warehouse B,164 bags IR-64,IR-64,15,standby,111,True
Pimpri to Warehouse A,312 bags Basmati,Basmati,15,ready,72,False
Pimpri to Warehouse B,276 bags Swarna,Swarna,7,standby,150,True
Khed to Warehouse B,142 bags Ponni,Ponni,1,standby,55,False
Lonikand to Warehouse C,134 bags Swarna,Swarna,18,ready,55,True
Wagholi to Warehouse B,420 bags Sona Masoori,Sona Masoori,11,standby,55,True
Indapur to Warehouse B,301 bags Swarna,Swarna,1,scheduled,170,False
Sanaswadi to Warehouse A,60 bags Swarna,Swarna,14,ready,144,False
Shirur to Warehouse C,131 bags Basmati,Basmati,5,scheduled,109,False
Open Yard C to Warehouse C,116 bags Ponni,Ponni,7,scheduled,99,False
Daund to Warehouse C,71 bags Basmati,Basmati,10,scheduled,101,True
Daund to Warehouse A,344 bags Ponni,Ponni,13,standby,149,True
Daund to Warehouse B,243 bags Swarna,Swarna,20,standby,148,True
Wagholi to Warehouse B,360 bags Ponni,Ponni,13,standby,50,False
Indapur to Warehouse B,165 bags IR-64,IR-64,18,scheduled,72,True
Open Yard C to Warehouse C,153 bags Sona Masoori,Sona Masoori,16,standby,134,True
Pimpri to Warehouse A,457 bags Basmati,Basmati,17,scheduled,142,False
Sanaswadi to Warehouse A,233 bags Sona Masoori,Sona Masoori,17,scheduled,178,True
Lonikand to Warehouse A,191 bags Basmati,Basmati,3,standby,170,True
Pimpri to Warehouse C,430 bags Basmati,Basmati,12,ready,37,True
Hadapsar to Warehouse B,336 bags Ponni,Ponni,4,ready,140,False
Talegaon to Warehouse B,62 bags Swarna,Swarna,10,standby,149,True
Sanaswadi to Warehouse A,354 bags Basmati,Basmati,2,scheduled,29,False
